sem1_risk_level,sem2_risk_level,sem1_risk_name,sem2_risk_name,trajectory_deteriorating,trajectory_improving,trajectory_stable
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
2,2,High Risk,High Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,1,High Risk,Medium Risk,False,True,False
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,1,High Risk,Medium Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,1,High Risk,Medium Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,2,High Risk,High Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
2,2,High Risk,High Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
0,1,Low Risk,Medium Risk,True,False,False
0,0,Low Risk,Low Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
2,2,High Risk,High Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
0,1,Low Risk,Medium Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,0,High Risk,Low Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,1,High Risk,Medium Risk,False,True,False
0,1,Low Risk,Medium Risk,True,False,False
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
0,1,Low Risk,Medium Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
0,1,Low Risk,Medium Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,1,High Risk,Medium Risk,False,True,False
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,2,Low Risk,High Risk,True,False,False
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,2,High Risk,High Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,2,Medium Risk,High Risk,True,False,False
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,2,Medium Risk,High Risk,True,False,False
2,1,High Risk,Medium Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
0,1,Low Risk,Medium Risk,True,False,False
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,0,High Risk,Low Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,2,Low Risk,High Risk,True,False,False
2,1,High Risk,Medium Risk,False,True,False
2,2,High Risk,High Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
2,0,High Risk,Low Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,2,Medium Risk,High Risk,True,False,False
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,1,High Risk,Medium Risk,False,True,False
1,1,Medium Risk,Medium Risk,False,False,True
0,0,Low Risk,Low Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
0,1,Low Risk,Medium Risk,True,False,False
1,1,Medium Risk,Medium Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
2,2,High Risk,High Risk,False,False,True
1,1,Medium Risk,Medium Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
2,1,High Risk,Medium Risk,False,True,False
0,0,Low Risk,Low Risk,False,False,True
0,1,Low Risk,Medium Risk,True,False,False
2,1,High Risk,Medium Risk,False,True,False
